model,seed,best_trial_number,best_params_json,best_tune_rmse,holdout_mse,holdout_rmse,holdout_mae,holdout_mape,tuning_seconds,final_fit_seconds,final_predict_seconds,final_total_seconds,epochs_ran,best_epoch,status,error
cnn_lstm,42,2,"{""batch_size"": 128, ""conv_filters"": 96, ""dense_units"": 16, ""dropout"": 0.35, ""learning_rate"": 0.0010249322216924156, ""lstm_units"": 96}",59.22319847936713,3594.0810623472485,59.95065522867326,44.17297044768247,1.3406546819446359,52.62019974994473,16.163501542061567,0.2722107080044225,16.636940209078602,13,13,ok,
gru,42,0,"{""batch_size"": 128, ""dense_units"": 64, ""dropout"": 0.1, ""learning_rate"": 0.0007725378389307352, ""units"": 64}",65.60149205116592,4180.0468794683675,64.6532820471503,48.692074396994954,1.4439092206989086,103.57795108295977,14.831805584020913,0.24051870801486075,15.194475000025705,13,13,ok,
cnn_bilstm,42,2,"{""batch_size"": 128, ""bilstm_units"": 96, ""conv_filters"": 96, ""dense_units"": 16, ""dropout"": 0.35, ""learning_rate"": 0.0010249322216924156}",56.00996613760515,4336.214959190455,65.84994274249945,47.98073488793475,1.4616700150109108,101.57963908300735,28.268770750029944,0.37215929105877876,28.89263925002888,13,13,ok,
lstm,42,0,"{""batch_size"": 128, ""dense_units"": 64, ""dropout"": 0.1, ""learning_rate"": 0.0007725378389307352, ""units"": 64}",82.75176469376628,6295.635715970939,79.34504216377314,55.97189714603782,1.7217584413285667,99.96782312507275,16.96010987495538,0.24463262502104044,17.29625291598495,14,14,ok,
cblstm_ae,42,2,"{""batch_size"": 32, ""bilstm_units"": 64, ""conv_filters"": 96, ""decoder_units"": 32, ""dense_units"": 64, ""learning_rate"": 0.00024112898115291975}",74.7881654801389,8513.837925173655,92.27046074000961,66.5454000152582,2.0122269996115545,1061.77065554203,183.98224100004882,1.6688954159617424,186.0242776250234,15,15,ok,
bilstm,42,0,"{""batch_size"": 128, ""dense_units"": 64, ""dropout"": 0.1, ""learning_rate"": 0.0007725378389307352, ""units"": 64}",74.23264808446609,8545.123970981582,92.4398397390518,65.32245307772719,2.00900948537793,179.82180550007615,29.96022524998989,0.3352281249826774,30.488620458054356,15,15,ok,
arima,42,0,"{""d"": 1, ""p"": 1, ""q"": 2}",544.6932789699363,255496.51898963802,505.4666348925891,417.90424189410317,13.657775964387685,1.24740020907484,0.1320836670929566,0.0,0.13213358295615762,0,0,ok,
sarima,42,1,"{""d"": 1, ""p"": 0, ""q"": 1, ""sd"": 0, ""seasonal_period"": 24, ""sp"": 1, ""sq"": 1}",1711.945706867253,2470810.21363677,1571.8811067115635,1390.88127913679,42.9376422612307,12.16468679101672,3.5564554589800537,0.0,3.5565937079954892,0,0,ok,
