rank_by_rmse,model,rmse,mae,mape
1,cnn_lstm,59.95065522867326,44.17297044768247,1.340654681944636
2,gru,64.6532820471503,48.692074396994954,1.4439092206989086
3,cnn_bilstm,65.84994274249945,47.98073488793475,1.4616700150109108
4,Beluga ForecastNet,75.40271204217639,55.486739596487915,1.6885240052232475
5,lstm,79.34504216377314,55.97189714603782,1.7217584413285667
6,cblstm_ae,92.2704607400096,66.5454000152582,2.0122269996115545
7,bilstm,92.4398397390518,65.32245307772719,2.00900948537793
8,arima,505.4666348925891,417.9042418941032,13.657775964387683
9,sarima,1571.8811067115637,1390.88127913679,42.9376422612307
